"id_name","NewCasesStudents","NewCasesTeachers","NewCasesStaff","Norm.New.Stud","share_inperson","share_hybrid","share_virtual","year","pupil_count_tot","per_federal_exp","per_state_local_exp","per_fed_state_local_exp","num_princ","num_teach","num_counselors","num_social","per_turn_all","per_turn_five_yrs","per_free_lunch","per_reduced_lunch","ELA_per_prof.18","math_per_prof.18","entity_name","student_teacher_ratio","district_name","report_school_year","Princ_Sal","Teacher_Sal"
61601040000,12,5,2,21.978021978022,0,1,0,2021,436,1485,22125,23610,2,51,1,1,6,0,38,3,96,98,"PANAMA CSD",8.54901960784314,"PANAMA CSD","2020-21",79435,74699.56
61700010000,176,31,24,37.037037037037,0,0.955879849,0.0441201549,2021,4574,1323,13620,14943,10,407,18,0,9,21,74,0,74,78,"JAMESTOWN CITY SD",11.2383292383292,"JAMESTOWN CITY SD","2020-21",99775.5,66441.23325
62201060000,64,10,16,45.6165359942979,0.304880595,0.60560512875,0.08951428,2021,1424,821,17057,17878,4,150,4,1,4,5,36,3,89,93,"FREDONIA CSD",9.49333333333333,"FREDONIA CSD","2020-21",102909.1667,72459.87919
62301040000,30,6,7,47.244094488189,0,1,0,2021,523,1977,20621,22598,2,54,1,2,5,0,60,6,82,84,"BROCTON CSD",9.68518518518519,"BROCTON CSD","2020-21",87279.5,67607.7963
62401040000,11,3,6,37.1621621621622,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RIPLEY CSD","2020-21",93636,59385.3125
62601040000,11,2,1,19.85559566787,0,1,0,2021,432,1702,18505,20207,1,43,2,0,2,0,54,2,98,96,"SHERMAN CSD",10.046511627907,"SHERMAN CSD","2020-21",89406.5,63591.80952
62901040000,25,7,6,36.6568914956012,0,0.95685174375,0.04314826,2021,634,2092,27712,29804,2,69,0,1,10,8,54,3,92,90,"WESTFIELD CSD",9.18840579710145,"WESTFIELD CSD","2020-21",91034.5,69972.88406
70600010000,90,41,36,13.1887456037515,0,0.772337399,0.227662602,2021,5599,1315,17423,18738,13,350,18,3,8,14,62,0,63,66,"ELMIRA CITY SD",15.9971428571429,"ELMIRA CITY SD","2020-21",107588.2069,62520.04571
70901060000,67,18,11,16.5228113440197,0,0.6585205525,0.34147944125,2021,3805,661,16846,17508,7,292,7,5,9,19,29,3,90,92,"HORSEHEADS CSD",13.0308219178082,"HORSEHEADS CSD","2020-21",112728.8,66953.81507
70902060000,49,9,14,49.1967871485944,0,0.766565072,0.2334349322,2021,1001,1093,17391,18484,4,89,3,0,6,0,47,6,75,84,"ELMIRA HEIGHTS CSD",11.247191011236,"ELMIRA HEIGHTS CSD","2020-21",103462.5,58695.22472
80101040000,21,5,9,36.2068965517241,0.462106503833333,0.521206671666667,0.0166868283333333,2021,481,1938,24549,26486,2,59,4,0,16,33,56,0,88,90,"AFTON CSD",8.15254237288136,"AFTON CSD","2020-21",92625,56815.89831
80201040000,48,8,6,65.7534246575343,0.30412672875,0.6958732675,0,2021,782,725,18233,18958,3,70,4,2,12,13,48,6,97,96,"BAINBRIDGE-GUILFORD CSD",11.1714285714286,"BAINBRIDGE-GUILFORD CSD","2020-21",95895.5,55227.45714
80601040000,61,10,9,59.9803343166175,0.632805778888889,0.367194217777778,0,2021,912,1434,20239,21673,4,86,5,0,6,10,41,9,82,84,"GREENE CSD",10.6046511627907,"GREENE CSD","2020-21",89029.75,64249.17442
81003040000,35,4,3,45.8715596330275,0.03627890375,0.96372109625,0,2021,795,923,19745,20668,2,65,3,1,15,36,47,1,82,88,"UNADILLA VALLEY CSD",12.2307692307692,"UNADILLA VALLEY CSD","2020-21",79158,57969.36923
81200050000,41,9,4,21.4772132006286,0.731535056666667,0.260854595555556,0.00761035,2021,1674,882,16905,17786,4,134,7,2,11,56,52,3,77,80,"NORWICH CITY SD",12.4925373134328,"NORWICH CITY SD","2020-21",92767,59570.35075
81401040000,2,7,1,4.4543429844098,0.154879819666667,0.478559993333333,0.3665602,2021,304,1151,28086,29237,1,25,2,0,22,33,47,3,96,81,"GEORGETOWN-SOUTH OTSELIC CSD",12.16,"GEORGETOWN-SOUTH OTSELIC CSD","2020-21",95790,53486.16
81501040000,3,0,1,4.05405405405405,0,0.710144926666667,0.289855063333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OXFORD ACADEMY & CSD","2020-21",103508.6667,62060.13699
82001040000,28,4,2,22.7272727272727,0,1,0,2021,1295,869,20667,21536,NA,NA,NA,NA,NA,NA,53,4,86,91,"SHERBURNE-EARLVILLE CSD",NA,"SHERBURNE-EARLVILLE CSD","2020-21",94841.83333,61916.01575
90201040000,24,6,7,21.2954747116238,0.135665211428571,0.514638475,0.349696312857143,2021,1139,1123,22872,23995,4,96,6,0,1,0,44,7,73,72,"AUSABLE VALLEY CSD",11.8645833333333,"AUSABLE VALLEY CSD","2020-21",82453.5,72005.01042
90301060000,83,11,7,44.0785979819437,0,0.804275414142857,0.195724588571429,2021,2017,619,15929,16548,4,167,9,0,12,57,45,2,83,85,"BEEKMANTOWN CSD",12.0778443113772,"BEEKMANTOWN CSD","2020-21",93384.2,69739.28659
90501040000,39,4,6,28.8675055514434,0.45898355125,0.500519415,0.040497035,2021,1210,805,21276,22081,4,110,6,0,6,15,42,4,85,89,"NORTHEASTERN CLINTON CSD",11,"NORTHEASTERN CLINTON CSD","2020-21",109367.25,69744.45872
